agent_1,agent_2,sat,dep,commit,ticks_tog,tick
9,17,-7.83,-10.83,-9,1,77
9,18,-12.83,-10.83,-9,1,77
9,19,-5.780738095238095,-12.745023809523808,-252,7,77
9,20,5.553333333333333,-13.613333333333333,-54,3,77
10,1,1.0216666666666665,-7.961666666666666,-15,5,77
10,2,11.448333333333334,-11.385,-6,3,77
10,3,6.019877344877345,-16.11926406926407,-66,11,77
10,4,-1.75,6.25,-1,1,77
10,5,18.62333333333333,-12.21,-6,3,77
10,6,5.176190476190477,0.026190476190476875,-28,7,77
10,7,5,-4,0,0,77
10,8,12.536833333333334,-3.4465000000000003,-15,5,77
10,9,26.476579365079363,-11.326198412698414,-45,9,77
10,11,-6,8,0,0,77
10,12,9.240333333333334,0.25700000000000023,-15,5,77
10,13,-1,0.001,0,0,77
10,14,-1.4499999999999997,-8.95,-3,2,77
10,15,14.128702380952378,0.32592460317460303,-45,9,77
10,16,14.9925,-10.590833333333336,-10,4,77
10,17,16.279999999999998,6.779999999999999,-3,2,77
10,18,5.956666666666667,8.123333333333333,-6,3,77
10,19,16.66047619047619,-8.489523809523808,-28,7,77
10,20,4.5,0.5,-1,1,77
11,1,-10,-5,0,0,77
11,2,23.8175,15.984166666666667,-60,4,77
11,3,2.5,1.5,-18,2,77
11,4,-9,-1,0,0,77
11,5,-7,-8,0,0,77
11,6,-3,14,-6,1,77
11,7,17.5,6.5,-18,2,77
11,8,11.975,23.974999999999998,-18,2,77
11,9,-0.5,18.5,-18,2,77
11,10,-4,-10,0,0,77
11,12,1,7,0,0,77
11,13,7,-3,0,0,77
11,14,21.046666666666667,36.71333333333333,-36,3,77
11,15,17,11,-6,1,77
11,16,-4,2,0,0,77
11,17,18.79,17.79,-6,1,77
11,18,10.5,5.5,-6,1,77
11,19,-10,-3,0,0,77
11,20,177.90406191934468,195.1965711068301,-10266,58,77
12,1,19.505,37.004999999999995,-90,4,77
12,2,15.3525,17.8535,-90,4,77
